Kod;Nazwa;Wskaźniki;Rok;Wartosc;Jednostka miary;Atrybut
601011;Międzyrzec Podlaski (1);ludność na 1 km2;2006;867;osoba; 
601021;Terespol (1);ludność na 1 km2;2006;594;osoba; 
601032;Biała Podlaska (2);ludność na 1 km2;2006;38;osoba; 
601042;Drelów (2);ludność na 1 km2;2006;24;osoba; 
601052;Janów Podlaski (2);ludność na 1 km2;2006;41;osoba; 
601062;Kodeń (2);ludność na 1 km2;2006;26;osoba; 
601072;Konstantynów (2);ludność na 1 km2;2006;47;osoba; 
601082;Leśna Podlaska (2);ludność na 1 km2;2006;46;osoba; 
601092;Łomazy (2);ludność na 1 km2;2006;27;osoba; 
601102;Międzyrzec Podlaski (2);ludność na 1 km2;2006;40;osoba; 
601112;Piszczac (2);ludność na 1 km2;2006;44;osoba; 
601122;Rokitno (2);ludność na 1 km2;2006;23;osoba; 
601132;Rossosz (2);ludność na 1 km2;2006;31;osoba; 
601142;Sławatycze (2);ludność na 1 km2;2006;36;osoba; 
601152;Sosnówka (2);ludność na 1 km2;2006;18;osoba; 
601162;Terespol (2);ludność na 1 km2;2006;50;osoba; 
601172;Tuczna (2);ludność na 1 km2;2006;21;osoba; 
601182;Wisznice (2);ludność na 1 km2;2006;30;osoba; 
601192;Zalesie (2);ludność na 1 km2;2006;31;osoba; 
602011;Biłgoraj (1);ludność na 1 km2;2006;1291;osoba; 
602022;Aleksandrów (2);ludność na 1 km2;2006;59;osoba; 
602032;Biłgoraj (2);ludność na 1 km2;2006;48;osoba; 
602042;Biszcza (2);ludność na 1 km2;2006;37;osoba; 
602053;Frampol (3);ludność na 1 km2;2006;60;osoba; 
602063;Goraj (2);ludność na 1 km2;2006;65;osoba; 
602073;Józefów (3);ludność na 1 km2;2006;57;osoba; 
602082;Księżpol (2);ludność na 1 km2;2006;48;osoba; 
602092;Łukowa (2);ludność na 1 km2;2006;30;osoba; 
602102;Obsza (2);ludność na 1 km2;2006;39;osoba; 
602112;Potok Górny (2);ludność na 1 km2;2006;50;osoba; 
602123;Tarnogród (3);ludność na 1 km2;2006;60;osoba; 
602132;Tereszpol (2);ludność na 1 km2;2006;28;osoba; 
602142;Turobin (2);ludność na 1 km2;2006;42;osoba; 
603011;Rejowiec Fabryczny (1);ludność na 1 km2;2006;315;osoba; 
603022;Białopole (2);ludność na 1 km2;2006;31;osoba; 
603032;Chełm (2);ludność na 1 km2;2006;57;osoba; 
603042;Dorohusk (2);ludność na 1 km2;2006;36;osoba; 
603052;Dubienka (2);ludność na 1 km2;2006;28;osoba; 
603062;Kamień (2);ludność na 1 km2;2006;41;osoba; 
603072;Leśniowice (2);ludność na 1 km2;2006;34;osoba; 
603082;Rejowiec Fabryczny (2);ludność na 1 km2;2006;53;osoba; 
603092;Ruda-Huta (2);ludność na 1 km2;2006;43;osoba; 
603102;Sawin (2);ludność na 1 km2;2006;30;osoba; 
603122;Wierzbica (2);ludność na 1 km2;2006;37;osoba; 
603132;Wojsławice (2);ludność na 1 km2;2006;39;osoba; 
603142;Żmudź (2);ludność na 1 km2;2006;25;osoba; 
604011;Hrubieszów (1);ludność na 1 km2;2006;562;osoba; 
604022;Dołhobyczów (2);ludność na 1 km2;2006;28;osoba; 
604032;Horodło (2);ludność na 1 km2;2006;43;osoba; 
604042;Hrubieszów (2);ludność na 1 km2;2006;42;osoba; 
604052;Mircze (2);ludność na 1 km2;2006;33;osoba; 
604062;Trzeszczany (2);ludność na 1 km2;2006;51;osoba; 
604072;Uchanie (2);ludność na 1 km2;2006;41;osoba; 
604082;Werbkowice (2);ludność na 1 km2;2006;54;osoba; 
605012;Batorz (2);ludność na 1 km2;2006;49;osoba; 
605022;Chrzanów (2);ludność na 1 km2;2006;43;osoba; 
605032;Dzwola (2);ludność na 1 km2;2006;33;osoba; 
605042;Godziszów (2);ludność na 1 km2;2006;62;osoba; 
605053;Janów Lubelski (3);ludność na 1 km2;2006;90;osoba; 
605072;Potok Wielki (2);ludność na 1 km2;2006;50;osoba; 
606011;Krasnystaw (1);ludność na 1 km2;2006;460;osoba; 
606022;Fajsławice (2);ludność na 1 km2;2006;71;osoba; 
606032;Gorzków (2);ludność na 1 km2;2006;42;osoba; 
606043;Izbica (2);ludność na 1 km2;2006;64;osoba; 
606052;Krasnystaw (2);ludność na 1 km2;2006;61;osoba; 
606062;Kraśniczyn (2);ludność na 1 km2;2006;39;osoba; 
606072;Łopiennik Górny (2);ludność na 1 km2;2006;40;osoba; 
606092;Rudnik (2);ludność na 1 km2;2006;39;osoba; 
606102;Siennica Różana (2);ludność na 1 km2;2006;44;osoba; 
606112;Żółkiewka (2);ludność na 1 km2;2006;47;osoba; 
607011;Kraśnik (1);ludność na 1 km2;2006;1420;osoba; 
607023;Annopol (3);ludność na 1 km2;2006;62;osoba; 
607032;Dzierzkowice (2);ludność na 1 km2;2006;62;osoba; 
607042;Gościeradów (2);ludność na 1 km2;2006;46;osoba; 
607052;Kraśnik (2);ludność na 1 km2;2006;67;osoba; 
607062;Szastarka (2);ludność na 1 km2;2006;84;osoba; 
607072;Trzydnik Duży (2);ludność na 1 km2;2006;67;osoba; 
607092;Wilkołaz (2);ludność na 1 km2;2006;68;osoba; 
607102;Zakrzówek (2);ludność na 1 km2;2006;70;osoba; 
608011;Lubartów (1);ludność na 1 km2;2006;1648;osoba; 
608022;Abramów (2);ludność na 1 km2;2006;51;osoba; 
608032;Firlej (2);ludność na 1 km2;2006;49;osoba; 
608042;Jeziorzany (2);ludność na 1 km2;2006;44;osoba; 
608053;Kamionka (2);ludność na 1 km2;2006;57;osoba; 
608063;Kock (3);ludność na 1 km2;2006;67;osoba; 
608072;Lubartów (2);ludność na 1 km2;2006;65;osoba; 
608082;Michów (2);ludność na 1 km2;2006;47;osoba; 
608092;Niedźwiada (2);ludność na 1 km2;2006;66;osoba; 
608103;Ostrów Lubelski (3);ludność na 1 km2;2006;46;osoba; 
