"JPT_KOD_JE","JPT_NAZWA_","os_km2_06","os_km2_18","pred_cv"
"0619072","Wola Uhruska",27,25,50.7313136190361
"0620043","KrasnobrĂłd",57,56,78.8305732748146
"0620022","Grabowiec",36,31,35.4454777646324
"0607032","Dzierzkowice",62,61,100.846416371979
"0608072","LubartĂłw",65,74,95.9037206786619
"0609092","KrzczonĂłw",38,34,96.5309161866245
"0609152","Wysokie",45,39,108.859170500816
"0610033","ĹÄ™czna",334,311,141.337379065446
"0601092","Ĺomazy",27,25,61.8564155568044
"0602112","Potok GĂłrny",50,49,108.1849466387
"0603062","KamieĹ„",41,43,37.4112365748741
"0603082","Rejowiec Fabryczny",53,48,-20.5562300330859
"0604032","HorodĹ‚o",43,40,99.7146125758838
"0605042","GodziszĂłw",62,57,95.976958565986
"0604022","DoĹ‚hobyczĂłw",28,26,80.7914462486352
"0619022","Hanna",24,21,5.14534926740219
"0609082","Konopnica",120,149,425.133610561114
"0609052","GĹ‚usk",117,174,283.708331810742
"0613052","PodedwĂłrze",17,15,25.2675223610038
"0615062","RadzyĹ„ Podlaski",52,52,91.9883752790703
"0620092","Sitno",61,60,117.358509168517
"0613022","JabĹ‚oĹ„",38,35,50.7020567936668
"0618102","Telatyn",39,36,41.8223341446424
"0619032","HaĹ„sk",22,21,-14.8328716223153
"0619042","Stary Brus",17,16,10.8854946477465
"0620032","KomarĂłw-Osada",44,41,45.2245546663257
"0606072","Ĺopiennik GĂłrny",40,37,87.8886333089713
"0609042","GarbĂłw",88,88,240.145280103982
"0610052","PuchaczĂłw",54,62,93.0307690849606
"0611082","Stoczek Ĺukowski",49,45,127.887331449351
"0615052","KomarĂłwka Podlaska",34,31,67.941978001526
"0618092","Tarnawatka",49,48,35.7632303604671
"0618082","Susiec",41,39,87.4273302661
"0601072","KonstantynĂłw",47,48,42.6228091090964
"0603022","BiaĹ‚opole",31,28,38.8747045423306
"0603132","WojsĹ‚awice",39,34,85.3945720216189
"0605053","JanĂłw Lubelski",90,89,112.382102145188
"0611032","AdamĂłw",59,57,85.1301059725528
"0664011","ZamoĹ›Ä‡",2192,2103,2610.15357250321
"0612042","Ĺaziska",48,45,41.8863915675273
"0620062","MiÄ…czyn",40,37,106.478422465713
"0620052","Ĺabunie",72,71,132.955858459153
"0620012","AdamĂłw",45,43,101.80444788992
"0607042","GoĹ›cieradĂłw",46,45,146.392206557943
"0608022","AbramĂłw",51,48,97.0306160493766
"0610022","Ludwin",41,46,105.543180202265
"0616022","KĹ‚oczew",51,50,28.3329755708394
"0618042","Krynice",49,44,95.3535552186929
"0618112","TomaszĂłw Lubelski",62,67,174.687693314178
"0602022","AleksandrĂłw",59,60,52.7503988491021
"0602032","BiĹ‚goraj",48,51,91.0619676106348
"0602092","Ĺukowa",30,29,30.188036659609
"0603052","Dubienka",28,25,56.5463253280905
"0603072","LeĹ›niowice",34,31,84.8997078719509
"0603142","Ĺ»mudĹş",25,23,24.8897731388477
"0604072","Uchanie",41,38,100.741649652852
"0612053","Opole Lubelskie",92,89,177.962559315015
"0605032","Dzwola",33,31,29.276216785894
"0609162","Zakrzew",43,38,138.929885302675
"0606043","Izbica",64,59,86.561640952322
"0620122","SuĹ‚Ăłw",55,49,39.9615609338475
"0619062","WĹ‚odawa",24,25,110.51952682096
"0620142","ZamoĹ›Ä‡",104,118,228.308395345129
"0614043","Kazimierz Dolny",97,93,145.361171923011
"0614062","KurĂłw",78,76,173.846989240793
"0615022","Borki",55,54,45.7070028964698
"0611072","Stanin",60,61,83.6988303870875
"0611092","TrzebieszĂłw",54,53,110.141918216264
"0613043","Parczew",101,99,152.993226226552
"0618123","Tyszowce",48,44,45.1681929619841
"0620072","Nielisz",53,49,172.107046608567
"0606052","Krasnystaw",61,57,146.713775593375
"0608011","LubartĂłw",1648,1581,2009.27059600739
"0608063","Kock",67,64,85.4400748650904
"0609022","BorzechĂłw",56,56,121.673382188513
"0609013","BeĹ‚ĹĽyce",103,99,187.012877608392
"0609033","Bychawa",84,80,146.287041074849
"0609112","Niemce",117,138,389.749936772474
"0615042","KÄ…kolewnica",57,55,102.740588205158
"0616011","DÄ™blin",469,421,1416.07820067512
"0616062","UĹ‚Ä™ĹĽ",43,38,160.585085969077
"0617052","Trawniki",109,107,74.1948840067044
"0617042","Rybczewice",39,35,98.995164242738
"0618032","JarczĂłw",34,32,62.3188680772612
"0601082","LeĹ›na Podlaska",46,43,24.711671437321
"0601162","Terespol",50,48,219.28361448948
"0604011","HrubieszĂłw",562,537,594.678503314404
"0604052","Mircze",33,30,63.4313996631356
"0612063","Poniatowa",179,169,262.03732434439
"0619082","Wyryki",13,12,61.5451054330506
"0663011","Lublin",2397,2303,2355.74212869262
"0613062","SiemieĹ„",44,41,50.8198664161548
"0614011","PuĹ‚awy",985,946,1149.57406654237
"0615032","Czemierniki",43,41,62.6241790311375
"0608053","Kamionka",57,58,68.8948750592002
"0601011","MiÄ™dzyrzec Podlaski",867,839,1444.63520265897
"0601062","KodeĹ„",26,24,36.4491679822722
"0606102","Siennica RĂłĹĽana",44,42,115.338732096494
"0607092","WilkoĹ‚az",68,68,80.489375145695
"0608042","Jeziorzany",44,42,-21.1040843996304
"0608032","Firlej",49,47,123.589311549544
"0608103","OstrĂłw Lubelski",46,43,73.4188936966179
"0608122","Serniki",64,65,128.178548969531
"0608132","UĹ›cimĂłw",32,30,46.4192415528659
"0609072","JastkĂłw",109,124,386.750831057301
"0609132","WojciechĂłw",74,74,119.958428410343
"0609142","WĂłlka",129,168,341.030756347301
"0611011","ĹukĂłw",856,840,1136.85019979582
"0611042","Krzywda",65,65,126.658715368768
"0602042","Biszcza",37,36,59.1006872154061
"0602102","Obsza",39,38,58.7550654747601
"0612032","Karczmiska",65,59,109.340334728446
"0602053","Frampol",60,57,60.9771369373622
"0605012","Batorz",49,47,77.9322429982727
"0618132","UlhĂłwek",35,32,56.6634464048822
"0613072","Sosnowica",15,15,17.3083732941931
"0614022","BaranĂłw",50,46,66.7733576837284
"0615011","RadzyĹ„ Podlaski",835,815,1024.59891349283
"0612012","Chodel",62,61,115.305806280391
"0612072","WilkĂłw",62,57,28.43577898031
"0620102","SkierbieszĂłw",40,37,90.6740367229255
"0620112","Stary ZamoĹ›Ä‡",56,53,115.792053257133
"0620153","Zwierzyniec",47,44,106.859393313102
"0607011","KraĹ›nik",1420,1323,1272.04914652952
"0606112","Ĺ»ĂłĹ‚kiewka",47,42,107.758103767168
"0607102","ZakrzĂłwek",70,66,136.81861312522
"0608092","NiedĹşwiada",66,65,140.901286650717
"0610012","CycĂłw",51,54,82.9947945551736
"0611062","Serokomla",54,51,90.088436025955
"0611052","ĹukĂłw",54,59,125.844342960406
"0602142","Turobin",42,38,97.9945105580081
"0615082","WohyĹ„",40,38,32.5413890462295
"0616043","Ryki",127,126,169.682698013421
"0618022","BeĹ‚ĹĽec",104,100,252.459383136784
"0601122","Rokitno",23,21,55.0019578728513
"0602011","BiĹ‚goraj",1291,1251,1665.22734226302
"0602082","KsiÄ™ĹĽpol",48,49,126.336905469501
"0603011","Rejowiec Fabryczny",315,309,286.501470566913
"0605022","ChrzanĂłw",43,41,71.0278211324623
"0614072","MarkuszĂłw",75,73,168.128452425012
"0614102","WÄ…wolnica",79,75,65.7545275387036
"0611112","Wola MysĹ‚owska",43,39,43.3894938569021
"0620133","Szczebrzeszyn",97,91,135.88093031655
"0601102","MiÄ™dzyrzec Podlaski",40,40,111.737390268418
"0607052","KraĹ›nik",67,70,94.0000982000264
"0609062","JabĹ‚onna",58,61,128.945766719624
"0609122","StrzyĹĽewice",70,74,70.3522253553551
"0609102","Niedrzwica DuĹĽa",104,111,189.052350629003
"0610042","MilejĂłw",80,78,73.2878755433158
"0610062","Spiczyn",66,69,87.2806254644233
"0611102","WojcieszkĂłw",64,63,56.2360137248236
"0601042","DrelĂłw",24,24,34.9611899071181
"0601052","JanĂłw Podlaski",41,39,84.2447476309022
"0601152","SosnĂłwka",18,16,11.3879163683773
"0601172","Tuczna",21,18,44.8690343915752
"0601192","Zalesie",31,30,117.72205519855
"0602073","JĂłzefĂłw",57,54,81.3034242959911
"0602123","TarnogrĂłd",60,59,116.887703865543
"0602132","Tereszpol",28,27,17.4094778107838
"0603092","Ruda-Huta",43,40,83.0987074180208
"0603042","Dorohusk",36,33,42.7361196816869
"0604042","HrubieszĂłw",42,39,63.4304938708436
"0604062","Trzeszczany",51,46,77.2248626058182
"0606062","KraĹ›niczyn",39,33,76.6146701043912
"0606011","Krasnystaw",460,446,532.364863144579
"0605072","Potok Wielki",50,47,67.4142686437618
"0607062","Szastarka",84,79,136.78709694543
"0602063","Goraj",65,61,35.0614283101578
"0603102","Sawin",30,29,38.5089779036746
"0661011","BiaĹ‚a Podlaska",1176,1161,1502.15702281892
"0619011","WĹ‚odawa",756,736,958.050931669454
"0614112","Ĺ»yrzyn",51,50,-28.2982689242467
"0614083","NaĹ‚Ä™czĂłw",151,143,237.045976719666
"0617033","Piaski",63,62,96.4334298921637
"0617022","MeĹ‚giew",89,103,175.640897857738
"0613012","DÄ™bowa KĹ‚oda",21,21,83.3904239982313
"0662011","CheĹ‚m",1924,1776,1885.35678847583
"0601021","Terespol",594,550,1042.12624785093
"0607023","Annopol",62,57,103.04888395596
"0606032","GorzkĂłw",42,36,118.662630681604
"0606092","Rudnik",39,34,62.8387755039691
"0608082","MichĂłw",47,43,73.438856055439
"0608112","OstrĂłwek",46,43,34.622122756126
"0611021","Stoczek Ĺukowski",300,277,453.991643463226
"0601142","SĹ‚awatycze",36,33,99.2960129990303
"0601112","Piszczac",44,42,78.9846423477282
"0601132","Rossosz",31,29,6.24489157159866
"0604082","Werbkowice",54,50,109.045832587821
"0606022","FajsĹ‚awice",71,65,103.716760625715
"0607072","Trzydnik DuĹĽy",67,62,115.361081680233
"0603032","CheĹ‚m",57,67,169.82197986854
"0619052","Urszulin",23,24,-7.97316997785146
"0620082","Radecznica",59,52,77.7379807882536
"0614032","Janowiec",46,47,97.3213251773497
"0614052","KoĹ„skowola",101,99,280.643524985186
"0614092","PuĹ‚awy",69,75,173.07079745804
"0615072","Ulan-Majorat",56,56,57.4601520898221
"0616032","NowodwĂłr",60,57,76.8584168947804
"0616052","StÄ™ĹĽyca",47,44,113.129268007483
"0617011","Ĺšwidnik",1970,1932,2473.89305127297
"0618011","TomaszĂłw Lubelski",1522,1445,1557.39345948263
"0618072","Rachanie",64,55,97.6814416077605
"0601032","BiaĹ‚a Podlaska",38,44,97.6577806903916
"0601182","Wisznice",30,29,16.4757728411941
"0613032","MilanĂłw",36,33,93.0409546356903
"0603122","Wierzbica",37,35,30.4409013063752
